90000,declined
90001,persist
90002,data
90003,expects
90004,reduce
90005,driven
90006,coming
90007,lowered
90008,remain
90009,such
90010,high
90011,led
90012,analog
90013,temper
90014,expand
90015,and
90016,backed
90017,offer
90018,likely
90019,falling
90020,persist
90021,found
90022,increase
90023,fell
90024,run
90025,helped
90026,claim
90027,moderate
90028,drove
90029,sell
90030,expected
90031,impose
90032,issued
90033,rose
90034,fuel
90035,its
90036,sued
90037,renewed
90038,paid
90039,is
90040,##ma
90041,fuel
90042,helping
90043,fell
90044,placing
90045,file
90046,reflecting
90047,product
90048,generate
90049,shows
90050,owed
90051,see
90052,spent
90053,at
90054,derived
90055,build
90056,rose
90057,hit
90058,falling
90059,related
90060,a
90061,posted
90062,partnering
90063,rule
90064,enter
90065,resolved
90066,drive
90067,sell
90068,comply
90069,export
90070,decline
90071,move
90072,extend
90073,creating
90074,reach
90075,selling
90076,falling
90077,aid
90078,heard
90079,pressured
90080,shift
90081,that
90082,rose
90083,plays
90084,minimal
90085,declined
90086,led
90087,eu
90088,increase
90089,automated
90090,back
90091,boost
90092,needed
90093,trade
90094,disclose
90095,report
90096,fell
90097,improving
90098,add
90099,raised
90100,spur
90101,tracked
90102,decide
90103,markets
90104,direct
90105,updated
90106,allows
90107,raised
90108,drill
90109,shop
90110,using
90111,limiting
90112,include
90113,financial
90114,above
90115,surged
90116,pose
90117,pick
90118,generate
90119,agreed
90120,granted
90121,limited
90122,driving
90123,renew
90124,top
90125,violate
90126,compared
90127,failed
90128,turned
90129,reflects
90130,moving
90131,overcame
90132,risen
90133,including
90134,expect
90135,more
90136,persist
90137,at
90138,increase
90139,above
90140,cited
90141,streaming
90142,struggle
90143,valued
90144,boosted
90145,helped
90146,increased
90147,following
90148,marks
90149,resolved
90150,violated
90151,block
90152,expects
90153,asian
90154,running
90155,supported
90156,doubled
90157,attributed
90158,upgrade
90159,wants
90160,issued
90161,stands
90162,hear
90163,under
90164,maintained
90165,has
90166,continue
90167,delay
90168,rise
90169,running
90170,offers
90171,heightened
90172,estimates
90173,fallen
90174,ended
90175,surged
90176,stemming
90177,allow
90178,combo
90179,weighing
90180,repeal
90181,on
90182,launched
90183,data
90184,new
90185,reported
90186,close
90187,believe
90188,led
90189,expands
90190,argues
90191,boost
90192,##or
90193,tightened
90194,maintained
90195,signal
90196,record
90197,having
90198,stemming
90199,overall
90200,go
90201,packaged
90202,defend
90203,suggests
90204,boost
90205,resulting
90206,offset
90207,focused
90208,final
90209,obtained
90210,extended
90211,pay
90212,lead
90213,need
90214,rose
90215,achieved
90216,reduces
90217,pursued
90218,drive
90219,applies
90220,average
90221,agreed
90222,reach
90223,slowed
90224,help
90225,hoped
90226,missed
90227,reflects
90228,heading
90229,mean
90230,been
90231,fell
90232,catch
90233,involved
90234,targets
90235,beginning
90236,continue
90237,shopping
90238,hears
90239,shows
90240,expects
90241,said
90242,resolve
90243,trailed
90244,sent
90245,completed
90246,defending
90247,boost
90248,combined
90249,risk
90250,averaged
90251,risen
90252,compares
90253,the
90254,ramp
90255,generated
90256,sued
90257,surged
90258,mobile
90259,raised
90260,reduce
90261,deliver
90262,unlike
90263,included
90264,win
90265,involved
90266,expects
90267,boost
90268,prompted
90269,accelerated
90270,gained
90271,result
90272,issue
90273,resulted
90274,fell
90275,fell
90276,see
90277,rise
90278,extends
90279,affect
90280,falls
90281,cut
90282,slowing
90283,trailed
90284,generated
90285,agreed
90286,issue
90287,are
90288,have
90289,spun
90290,trading
90291,finalized
90292,expected
90293,expose
90294,with
90295,expanded
90296,tight
90297,issued
90298,holding
90299,caught
90300,trading
90301,generate
90302,eps
90303,face
90304,said
90305,fallen
90306,concerns
90307,slow
90308,gained
90309,trailed
90310,values
90311,raise
90312,asserts
90313,stemming
90314,gives
90315,rule
90316,likely
90317,rose
90318,raise
90319,pending
90320,stopped
90321,end
90322,posted
90323,trade
90324,result
90325,holds
90326,switch
90327,falling
90328,support
90329,recover
90330,handled
